cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
180,3800.0,1900.0,1520.0,380.0,8,56.76,56.76,56.76,34.89885144,0.601887567707,28.0800439859,16.2210129174,0.232060270636,36.6367859923,35.5925180963
180,3800.0,1900.0,1520.0,380.0,8,86.0,68.8,17.2,22.2408752072,0.400824581923,17.8724213663,12.5830651643,0.180015238402,29.3296669794,25.8122219906
180,3800.0,1330.0,1330.0,1140.0,8,56.76,56.76,56.76,67.8838007311,1.21802722597,53.5996655956,20.3810961295,0.291575051925,79.3595323246,53.892206083
180,3800.0,1330.0,1330.0,1140.0,8,60.2,60.2,51.6,60.6691812688,1.12531551244,48.4689857151,20.4922309591,0.29316496365,72.7122602385,51.1654717771
180,3800.0,3040.0,380.0,380.0,8,56.76,56.76,56.76,66.8763205983,1.13041857426,51.6056453262,24.8031894608,0.354838189711,69.0889069737,54.4455668921
180,3800.0,3040.0,380.0,380.0,8,137.6,17.2,17.2,15.1455426525,0.301894824009,11.1757673761,9.29127295236,0.132922359833,26.1798749686,14.9087320706
180,3800.0,760.0,1520.0,1520.0,8,56.76,56.76,56.76,55.2425401983,1.04585656857,43.2009086518,19.9560565813,0.285494371692,55.444966793,52.6470845073
180,3800.0,760.0,1520.0,1520.0,8,34.4,68.8,68.8,41.7821135658,0.854305444014,31.6077153889,16.2684405179,0.232738777081,40.097079971,41.0912296599
180,3800.0,1520.0,1520.0,760.0,8,56.76,56.76,56.76,34.7788914174,0.680931458143,27.0138150576,16.0243976295,0.229247462511,35.8971712041,36.7970009575
180,3800.0,1520.0,1520.0,760.0,8,68.8,68.8,34.4,35.4455087511,0.673413187012,28.3602805547,15.8415336099,0.226631382116,42.5378086424,39.1657899842
180,3800.0,1140.0,2280.0,380.0,8,56.76,56.76,56.76,26.751236783,0.395693867344,22.532847603,13.6479594225,0.195249777146,32.8644195423,30.9819323335
180,3800.0,1140.0,2280.0,380.0,8,51.6,103.2,17.2,21.0322978563,0.371985259464,17.1621307041,11.8504501662,0.169534337142,31.2885394562,23.9447594468
190,3800.0,380.0,1140.0,2280.0,8,60.06,60.06,60.06,99.0514167711,1.74390448293,76.802199586,26.7137596294,0.382171096271,96.306238493,74.7688003917
190,3800.0,380.0,1140.0,2280.0,8,18.2,54.6,109.2,57.1843024996,1.44748871711,37.5996547047,21.2993670099,0.304711974391,51.356459033,55.6428954536
190,3800.0,2280.0,1140.0,380.0,8,60.06,60.06,60.06,47.2935817809,0.831403438547,36.7636359054,20.9454049512,0.299648139502,49.4069444451,47.3823846195
190,3800.0,2280.0,1140.0,380.0,8,109.2,54.6,18.2,22.4780235774,0.408271485838,17.9125882245,12.5334014123,0.179304741235,31.9271087331,26.3128458611
190,3800.0,1900.0,1520.0,380.0,8,60.06,60.06,60.06,32.3058668705,0.529477642476,26.153999041,15.6936813483,0.22451618524,35.6667786553,35.1256913058
190,3800.0,1900.0,1520.0,380.0,8,91.0,72.8,18.2,24.4475984301,0.403387933011,19.7895224382,12.7769680803,0.182789242923,32.8351629059,27.0305395783
190,3800.0,1330.0,1330.0,1140.0,8,60.06,60.06,60.06,58.0674798835,1.06696051757,45.7032087321,20.2518488909,0.289726021329,56.1021485596,54.1851561903
190,3800.0,1330.0,1330.0,1140.0,8,63.7,63.7,54.6,61.9289516318,1.11534650871,48.7041050415,21.196601352,0.303241793304,64.8748723519,55.8338901832
