cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
120,7600.0,3800.0,3040.0,760.0,8,36.96,36.96,36.96,76.3341632229,1.4820805496,56.7080848037,36.5742419637,0.523236651841,48.7469759909,90.9183232765
120,7600.0,3800.0,3040.0,760.0,8,56.0,44.8,11.2,59.7362272135,1.2996011887,42.6826854393,31.6803701,0.453224178828,45.7864717194,77.57397737
120,7600.0,2660.0,2660.0,2280.0,8,36.96,36.96,36.96,82.9843156582,1.95263394349,60.157447744,32.9958887634,0.472044188318,63.7044235667,84.6597669057
120,7600.0,2660.0,2660.0,2280.0,8,39.2,39.2,33.6,78.5108708592,1.68287352081,57.9172937177,31.9139141174,0.456565294956,62.42886482,81.6736223466
120,7600.0,6080.0,760.0,760.0,8,36.96,36.96,36.96,67.9382574498,1.32571911709,49.8072763321,26.6045699418,0.380609012042,61.0344263057,65.4080636747
120,7600.0,6080.0,760.0,760.0,8,89.6,11.2,11.2,46.842023148,1.19460531119,28.4782441798,26.6686849605,0.381526251223,40.7684181388,58.7278425904
120,7600.0,1520.0,3040.0,3040.0,8,36.96,36.96,36.96,92.2095774696,1.9720539693,68.5387515502,34.6999268864,0.496422416115,67.2590609899,94.1455761395
120,7600.0,1520.0,3040.0,3040.0,8,22.4,44.8,44.8,79.674868139,1.76485731125,57.7368049987,31.5525670421,0.4513958089,63.3245241937,83.6670364259
120,7600.0,3040.0,3040.0,1520.0,8,36.96,36.96,36.96,82.1927664624,1.78414241157,59.6275269865,35.1103951656,0.502294637562,57.9957532706,90.8644618647
120,7600.0,3040.0,3040.0,1520.0,8,44.8,44.8,22.4,72.2404062772,1.52324579251,53.9505760707,32.5249167061,0.465306390645,62.9880261645,80.3954154905
120,7600.0,2280.0,4560.0,760.0,8,36.96,36.96,36.96,57.7871045494,1.16251685108,43.186434332,29.036149596,0.415395559313,38.9889571183,70.1311943048
120,7600.0,2280.0,4560.0,760.0,8,33.6,67.2,11.2,55.6036533063,1.09006854735,42.1834517884,30.5389321683,0.436894594683,59.7888395315,73.3307488896
130,7600.0,760.0,2280.0,4560.0,8,40.26,40.26,40.26,100.245093332,1.91818936518,77.6711635009,32.7777119261,0.468922917397,99.2376248976,82.3275877636
130,7600.0,760.0,2280.0,4560.0,8,12.2,36.6,73.2,84.1338981725,2.04232500618,56.8639931507,31.5599840073,0.451501917129,61.0654222063,86.8677821819
130,7600.0,4560.0,2280.0,760.0,8,40.26,40.26,40.26,69.1872928025,1.33737393043,51.6879324381,32.3756019411,0.463170270975,49.8027706085,77.888508508
130,7600.0,4560.0,2280.0,760.0,8,73.2,36.6,12.2,60.0895861346,1.31913703825,42.0398787792,31.5160759776,0.450873762197,42.5927230072,75.4927358584
130,7600.0,3800.0,3040.0,760.0,8,40.26,40.26,40.26,76.5371768797,1.44697702619,57.6601434904,36.0958233189,0.516392322158,50.4961136871,90.124887466
130,7600.0,3800.0,3040.0,760.0,8,61.0,48.8,12.2,58.6357348795,1.21826570504,41.7530114177,31.7771610697,0.454608885117,46.0625718,77.394319036
130,7600.0,2660.0,2660.0,2280.0,8,40.26,40.26,40.26,81.8514003937,1.87496819798,59.1320987883,33.9858813915,0.486207172983,59.0348362221,85.5040122952
130,7600.0,2660.0,2660.0,2280.0,8,42.7,42.7,36.6,87.6038022161,1.86593992482,64.7587046882,32.5855646181,0.466174028872,71.1899676956,83.7200250695
130,7600.0,6080.0,760.0,760.0,8,40.26,40.26,40.26,66.6034152671,1.22995159997,49.5464687342,26.4262358883,0.37805773803,59.3273841919,64.7575060488
130,7600.0,6080.0,760.0,760.0,8,97.6,12.2,12.2,49.4583842627,1.27964323915,30.0989648289,26.5907930632,0.380411917928,43.4727025176,57.9765300904
130,7600.0,1520.0,3040.0,3040.0,8,40.26,40.26,40.26,96.4400988371,1.98758497188,72.7468225155,34.5044130115,0.493625364971,70.9802086342,94.6610251884
130,7600.0,1520.0,3040.0,3040.0,8,24.4,48.8,48.8,79.4500355212,1.72792783679,58.2511359895,31.4669107608,0.45017039715,66.1039115134,84.9250825343
130,7600.0,3040.0,3040.0,1520.0,8,40.26,40.26,40.26,79.6735353276,1.7351008663,58.0905440188,34.0642748287,0.487328681383,51.4867899988,90.8018273283
130,7600.0,3040.0,3040.0,1520.0,8,48.8,48.8,24.4,74.100549695,1.60807956184,54.3668023902,32.3830792583,0.463277242608,59.5458475928,81.9998353659
130,7600.0,2280.0,4560.0,760.0,8,40.26,40.26,40.26,56.818072716,1.11731172357,43.0995461959,27.9920780846,0.400458913943,40.7047504826,69.2908172248
130,7600.0,2280.0,4560.0,760.0,8,36.6,73.2,12.2,58.6255286888,1.04710718974,46.075067251,30.3663118723,0.43442506255,68.5844961134,74.4351341105
140,7600.0,760.0,2280.0,4560.0,8,43.56,43.56,43.56,101.739040736,1.87786234188,78.7405350952,31.2213469602,0.44665732418,92.8285396884,83.6394729128
